,Industry,Year,Metric,Attribute,Value,Scenario
1499,Government,2105,7-TotalValueAdded,Total,4432603.344,Base Case
1500,Government,2105,8-Output,Direct,1128158.898,Base Case
1501,Government,2105,8-Output,Indirect,703551.882,Base Case
1502,Government,2105,8-Output,Induced,3859397.852,Base Case
1503,Government,2105,8-Output,Total,5691108.63,Base Case
1504,Government,2109,1-Employment,Direct,3.47,Base Case
1505,Government,2109,1-Employment,Indirect,2.736,Base Case
1506,Government,2109,1-Employment,Induced,47.16,Base Case
1507,Government,2109,1-Employment,Total,53.372,Base Case
1508,Government,2109,2-EmployeeCompensation,Direct,282873.46,Base Case
1509,Government,2109,2-EmployeeCompensation,Indirect,232471.048,Base Case
1510,Government,2109,2-EmployeeCompensation,Induced,3290310.5,Base Case
1511,Government,2109,2-EmployeeCompensation,Total,3805655.006,Base Case
1512,Government,2109,3-PropietorsIncome,Direct,0,Base Case
1513,Government,2109,3-PropietorsIncome,Indirect,0,Base Case
1514,Government,2109,3-PropietorsIncome,Induced,0,Base Case
1515,Government,2109,3-PropietorsIncome,Total,0,Base Case
1516,Government,2109,4-LaborIncome,Direct,282873.46,Base Case
1517,Government,2109,4-LaborIncome,Indirect,232471.048,Base Case
1518,Government,2109,4-LaborIncome,Induced,3290310.5,Base Case
1519,Government,2109,4-LaborIncome,Total,3805655.006,Base Case
1520,Government,2109,5-OtherPropertyTypeIncome,Direct,326395.868,Base Case
1521,Government,2109,5-OtherPropertyTypeIncome,Indirect,188898.412,Base Case
1522,Government,2109,5-OtherPropertyTypeIncome,Induced,850582.572,Base Case
1523,Government,2109,5-OtherPropertyTypeIncome,Total,1365876.84,Base Case
1524,Government,2109,6-IndirectBusinessTaxes,Direct,-27571.374,Base Case
1525,Government,2109,6-IndirectBusinessTaxes,Indirect,-16132.85,Base Case
1526,Government,2109,6-IndirectBusinessTaxes,Induced,-30237.47,Base Case
1527,Government,2109,6-IndirectBusinessTaxes,Total,-73941.698,Base Case
1528,Government,2109,7-TotalValueAdded,Direct,581697.952,Base Case
1529,Government,2109,7-TotalValueAdded,Indirect,405236.598,Base Case
1530,Government,2109,7-TotalValueAdded,Induced,4110655.602,Base Case
1531,Government,2109,7-TotalValueAdded,Total,5097590.154,Base Case
1532,Government,2109,8-Output,Direct,1238856.69,Base Case
1533,Government,2109,8-Output,Indirect,748547.774,Base Case
1534,Government,2109,8-Output,Induced,4515321.65,Base Case
1535,Government,2109,8-Output,Total,6502726.116,Base Case
1536,Manufacturing,2035,1-Employment,Direct,357.308,Base Case
1537,Manufacturing,2035,1-Employment,Indirect,8.274,Base Case
1538,Manufacturing,2035,1-Employment,Induced,1.246,Base Case
1539,Manufacturing,2035,1-Employment,Total,366.85,Base Case
1540,Manufacturing,2035,2-EmployeeCompensation,Direct,18276743.13,Base Case
1541,Manufacturing,2035,2-EmployeeCompensation,Indirect,468036.822,Base Case
1542,Manufacturing,2035,2-EmployeeCompensation,Induced,71263.722,Base Case
1543,Manufacturing,2035,2-EmployeeCompensation,Total,18816043.63,Base Case
1544,Manufacturing,2035,3-PropietorsIncome,Direct,1349913.27,Base Case
1545,Manufacturing,2035,3-PropietorsIncome,Indirect,42589.42,Base Case
1546,Manufacturing,2035,3-PropietorsIncome,Induced,21372.172,Base Case
1547,Manufacturing,2035,3-PropietorsIncome,Total,1413874.87,Base Case
1548,Manufacturing,2035,4-LaborIncome,Direct,19626656.4,Base Case
1549,Manufacturing,2035,4-LaborIncome,Indirect,510626.232,Base Case
1550,Manufacturing,2035,4-LaborIncome,Induced,92635.878,Base Case
1551,Manufacturing,2035,4-LaborIncome,Total,20229918.5,Base Case
1552,Manufacturing,2035,5-OtherPropertyTypeIncome,Direct,5519656.194,Base Case
1553,Manufacturing,2035,5-OtherPropertyTypeIncome,Indirect,478623.206,Base Case
1554,Manufacturing,2035,5-OtherPropertyTypeIncome,Induced,88491.116,Base Case
1555,Manufacturing,2035,5-OtherPropertyTypeIncome,Total,6086770.498,Base Case
1556,Manufacturing,2035,6-IndirectBusinessTaxes,Direct,864351.04,Base Case
1557,Manufacturing,2035,6-IndirectBusinessTaxes,Indirect,37404.958,Base Case
1558,Manufacturing,2035,6-IndirectBusinessTaxes,Induced,5594.212,Base Case
1559,Manufacturing,2035,6-IndirectBusinessTaxes,Total,907350.226,Base Case
1560,Manufacturing,2035,7-TotalValueAdded,Direct,26010663.64,Base Case
1561,Manufacturing,2035,7-TotalValueAdded,Indirect,1026654.404,Base Case
1562,Manufacturing,2035,7-TotalValueAdded,Induced,186721.182,Base Case
1563,Manufacturing,2035,7-TotalValueAdded,Total,27224039.25,Base Case
1564,Manufacturing,2035,8-Output,Direct,80518727.23,Base Case
1565,Manufacturing,2035,8-Output,Indirect,3999645.9,Base Case
1566,Manufacturing,2035,8-Output,Induced,759213.836,Base Case
1567,Manufacturing,2035,8-Output,Total,85277586.98,Base Case
1568,Manufacturing,2040,1-Employment,Direct,664.232,Base Case
1569,Manufacturing,2040,1-Employment,Indirect,6.23,Base Case
1570,Manufacturing,2040,1-Employment,Induced,0.914,Base Case
1571,Manufacturing,2040,1-Employment,Total,671.404,Base Case
1572,Manufacturing,2040,2-EmployeeCompensation,Direct,35018384.73,Base Case
1573,Manufacturing,2040,2-EmployeeCompensation,Indirect,359958.65,Base Case
1574,Manufacturing,2040,2-EmployeeCompensation,Induced,52110.498,Base Case
1575,Manufacturing,2040,2-EmployeeCompensation,Total,35430453.88,Base Case
1576,Manufacturing,2040,3-PropietorsIncome,Direct,2233118.276,Base Case
1577,Manufacturing,2040,3-PropietorsIncome,Indirect,17444.168,Base Case
1578,Manufacturing,2040,3-PropietorsIncome,Induced,16293.74,Base Case
1579,Manufacturing,2040,3-PropietorsIncome,Total,2266856.186,Base Case
1580,Manufacturing,2040,4-LaborIncome,Direct,37251503,Base Case
1581,Manufacturing,2040,4-LaborIncome,Indirect,377402.842,Base Case
1582,Manufacturing,2040,4-LaborIncome,Induced,68404.232,Base Case
1583,Manufacturing,2040,4-LaborIncome,Total,37697310.05,Base Case
1584,Manufacturing,2040,5-OtherPropertyTypeIncome,Direct,10699529.82,Base Case
1585,Manufacturing,2040,5-OtherPropertyTypeIncome,Indirect,342793.262,Base Case
1586,Manufacturing,2040,5-OtherPropertyTypeIncome,Induced,61684.86,Base Case
1587,Manufacturing,2040,5-OtherPropertyTypeIncome,Total,11104007.97,Base Case
1588,Manufacturing,2040,6-IndirectBusinessTaxes,Direct,1655380.46,Base Case
1589,Manufacturing,2040,6-IndirectBusinessTaxes,Indirect,27388.242,Base Case
1590,Manufacturing,2040,6-IndirectBusinessTaxes,Induced,4017.532,Base Case
1591,Manufacturing,2040,6-IndirectBusinessTaxes,Total,1686786.234,Base Case
1592,Manufacturing,2040,7-TotalValueAdded,Direct,49606413.27,Base Case
1593,Manufacturing,2040,7-TotalValueAdded,Indirect,747584.352,Base Case
1594,Manufacturing,2040,7-TotalValueAdded,Induced,134106.626,Base Case
1595,Manufacturing,2040,7-TotalValueAdded,Total,50488104.27,Base Case
1596,Manufacturing,2040,8-Output,Direct,161490197.7,Base Case
1597,Manufacturing,2040,8-Output,Indirect,2778023.574,Base Case
1598,Manufacturing,2040,8-Output,Induced,539133.79,Base Case
1599,Manufacturing,2040,8-Output,Total,164807355,Base Case
1600,Manufacturing,2045,1-Employment,Direct,604.934,Base Case
1601,Manufacturing,2045,1-Employment,Indirect,4.916,Base Case
1602,Manufacturing,2045,1-Employment,Induced,0.724,Base Case
1603,Manufacturing,2045,1-Employment,Total,610.604,Base Case
1604,Manufacturing,2045,2-EmployeeCompensation,Direct,31924423.21,Base Case
1605,Manufacturing,2045,2-EmployeeCompensation,Indirect,275293.86,Base Case
1606,Manufacturing,2045,2-EmployeeCompensation,Induced,41123.376,Base Case
1607,Manufacturing,2045,2-EmployeeCompensation,Total,32240840.47,Base Case
1608,Manufacturing,2045,3-PropietorsIncome,Direct,2981535.12,Base Case
1609,Manufacturing,2045,3-PropietorsIncome,Indirect,16740.314,Base Case
1610,Manufacturing,2045,3-PropietorsIncome,Induced,14243.82,Base Case
1611,Manufacturing,2045,3-PropietorsIncome,Total,3012519.228,Base Case
1612,Manufacturing,2045,4-LaborIncome,Direct,34905958.33,Base Case
1613,Manufacturing,2045,4-LaborIncome,Indirect,292034.174,Base Case
